factor,year,ic,rank_ic,count
kdj_k,2021.0,-0.000641287618978504,0.009089069198358817,243.0
kdj_k,2022.0,-0.06505848967112239,-0.052813223817876155,242.0
kdj_k,2023.0,0.07989246033678364,0.09782429686868264,242.0
kdj_k,2024.0,-0.1110223978273073,-0.16463604243873411,242.0
kdj_k,2025.0,-0.012485877060945767,-0.05226214789056319,243.0
kdj_k,2026.0,0.061899894950270914,0.0033662949715968856,97.0
kdj_d,2018.0,0.01354377123926229,-0.019444843207520747,235.0
kdj_d,2019.0,-0.03714368231768833,-0.052117847746263046,244.0
kdj_d,2020.0,-0.1009556485776971,-0.10772487250380941,243.0
kdj_d,2021.0,0.004248502272223209,0.01680156424319365,243.0
kdj_d,2022.0,-0.050324496146468875,-0.056959637872500954,242.0
kdj_d,2023.0,-0.012212772761670349,0.016246542714542213,242.0
kdj_d,2024.0,-0.12729671633039413,-0.12760788817973562,242.0
kdj_d,2025.0,0.05776095339878004,0.019660088214484638,243.0
kdj_d,2026.0,0.1055491684881867,0.014254155270355562,97.0
kdj_j,2018.0,0.02297011531587181,0.00015626889067815904,235.0
kdj_j,2019.0,-0.1243889307617928,-0.14861405400047084,244.0
kdj_j,2020.0,-0.1495656398422927,-0.16884108513517354,243.0
kdj_j,2021.0,-0.006210811825436018,0.014121175323361115,243.0
kdj_j,2022.0,-0.06959410818554396,-0.04039430306247859,242.0
kdj_j,2023.0,0.17917060713985,0.1827381489144346,242.0
kdj_j,2024.0,-0.07075310723789979,-0.16974137403656245,242.0
kdj_j,2025.0,-0.08864505775018992,-0.12557517550065986,243.0
kdj_j,2026.0,-0.003221733842890481,-0.0009336208710288237,97.0
adx_14d,2018.0,0.2983373436906889,0.27775327874392275,217.0
adx_14d,2019.0,0.09062884488903657,0.14888418026591327,244.0
adx_14d,2020.0,-0.06814238802317087,-0.07064852867138012,243.0
